####### NEWEST ENTRIES
voice_of_tzeentch;Voice Of Tzeentch;;;;;;;;;;;;;x
voice_of_tzeentch_desc;Tzeentch Speaks to me;;;;;;;;;;;;;x
renounce_imperial_throne;Renounce Your Nomination for Imperial Throne;;;;;;;;;;;;;x
renounce_imperial_throne_desc;Renounce your right for being elected to imperial throne.;;;;;;;;;;;;;x
renounced_imperial_throne;Renounced Imperial Throne;;;;;;;;;;;;;x
renounced_imperial_throne_desc;This character has no intention to be elected an emperor.;;;;;;;;;;;;;x
e_borderlands;The Borderlands;The Borderlands;The Borderlands;;The Borderlands;;;;;;;;;x
e_borderlands_desc;Borderlander;;Borderlander;;;;;;;;;;;x
e_southlands_2;The Southlands;The Southlands;The Southlands;;The Southlands;;;;;;;;;x
e_southlands_2_adj;Southlander;;Southlander;;;;;;;;;;;x
e_realm_of_khorne;Realm of Khorne;;;;;;;;;;;;;x
e_realm_of_nurgle;Realm of Nurgle;;;;;;;;;;;;;x
e_realm_of_slaanesh;Realm of Slaanesh;;;;;;;;;;;;;x
e_realm_of_tzeentch;Realm of Tzeentch;;;;;;;;;;;;;x
summoned_throngs;Summoned Throngs;;;;;;;;;;;;;x
b_the_ragged_maze;The Ragged Maze;The Ragged Maze;The Ragged Maze;;The Ragged Maze;;;;;;;;;x
b_the_ragged_maze_adj;The Ragged Mazians;;The Ragged Mazian;;;;;;;;;;;x
b_cold_mire;Cold Mire;Cold Mire;Cold Mire;;Cold Mire;;;;;;;;;x
b_cold_mire_adj;Cold Mirean;Cold Mirean;Cold Mirean;;Cold Mirean;;;;;;;;;x
b_foetid_waters;Foetid Waters;Foetid Waters;Foetid Waters;;Foetid Waters;;;;;;;;;x
b_foetid_waters_adj;Foetid Waterian;Foetid Waterian;Foetid Waterian;;Foetid Waterian;;;;;;;;;x
c_the_ragged_maze;The Ragged Maze;The Ragged Maze;The Ragged Maze;;The Ragged Maze;;;;;;;;;x
c_the_ragged_maze_adj;The Ragged Mazians;;The Ragged Mazians;;;;;;;;;;;x
c_cold_mire;Cold Mire;Cold Mire;Cold Mire;;Cold Mire;;;;;;;;;x
c_cold_mire_adj;Cold Mirean;Cold Mirean;Cold Mirean;;Cold Mirean;;;;;;;;;x
