# LAST EDIT: 2020/09/16 - MITSU
############
# BEASTMAN #
############
###ÄNSI
#
# BEASTMAN TRAITS
#
creature_beastman;Beastman;;;;;;;;;;;;;x
creature_beastman_desc;Beastmen are feral humanoids, cursed with twisted half-animal forms by the winds of Chaos. They are without exception cunning, cruel, and utterly devoted to their Dark Gods, these horned and stinking warrior-beasts can be found infesting many of the dark forests and trackless wastes that cover much of the world.;;;;;;;;;;;;;x
horns_none;No Horns;;;;;;;;;;;;;
horns_small;Small Horns;;;;;;;;;;;;;
horns_average;Average Horns;;;;;;;;;;;;;
horns_big;Big Horns;;;;;;;;;;;;;
horns_none_desc;A Beastman without horns is usually low on the social ladder, ridiculed and despised by his betters.;;;;;;;;;;;;;
horns_small_desc;This Beastman has shamelessly small horns an unfortunate condition within a Herd.;;;;;;;;;;;;;
horns_average_desc;Beastmen value their leaders for the shape and size of their horns. Usually the Gors with the biggest horns tend to cut their way to leadership.;;;;;;;;;;;;;
horns_big_desc;This Beastman has been blessed by the Gods with an impressive pair of horns, which gives him a good and enviable standing within the herd.;;;;;;;;;;;;;
action_despoil_land_desc;Unleash your Herd upon a province, letting the Gor destroy any sign of civilization, breed and honor the Gods.;;;;;;;;;;;;;
action_spread_chaos;Spread Chaos;;;;;;;;;;;;;;
action_spread_chaos_desc;Send your herds to wreak havoc in a province, destroying anything that the civilized people hold dear and increasing your prestige as a Hordemaster.;;;;;;;;;;;;;;
gather_beastmen_army;Gather Beastmen Army;;;;;;;;;;;;;;
gather_beastmen_army_desc;Beastmen are countless and they gather easily whenever there's blood to be spilled.;;;;;;;;;;;;;;
#
# BEASTMAN CB TYPES
#
beastmen_uprising_desc;§Y$CLAIMANT$§! can wage war to take any land for his war-herd.;;;;;;;;;;;;;
CB_NAME_BEASTMEN_UPRISING;Beastmen Uprising;;;;;;;;;;;;;
WAR_NAME_BEASTMEN_UPRISING;$ORDER$$FIRST_ADJ$ Beastmen Uprising of $OTHER_TITLE$;;;;;;;;;;;;;
WAR_HERD;[Root.County.GetAdjective] War Herd;;;;;;;;;;;;;
beastman_migration_desc;§Y$CLAIMANT$§! Can migrate along with their herds to a new land to spoil in the name of the Ruinous Powers. Be warned you will lose any land you currently own.;;;;;;;;;;;;;
CB_NAME_BEASTMAN_MIGRATION;Migrate to [Title.GetBaseName];;;;;;;;;;;;;
WAR_NAME_BEASTMAN_MIGRATION;$ORDER$$FIRST_ADJ$ Migration to $OTHER_TITLE$;;;;;;;;;;;;;
king_beastman_migration_desc;§Y$CLAIMANT$§! Can migrate along with their herds to a new land to spoil in the name of the Ruinous Powers. Be warned you will lose any land you currently own.;;;;;;;;;;;;;
beastman_county_conquest_desc;Beastmen need no excuse to invade new lands. §Y$CLAIMANT$§! can attack any bordering province and occupy any land around it, as far as the herds can manage.;;;;;;;;;;;;;
CB_NAME_BEASTCOUNTY_CONQUEST;Invade [Title.GetBaseName];;;;;;;;;;;;;
WAR_NAME_BEASTCOUNTY_CONQUEST;$ORDER$$FIRST_ADJ$ Bestial Invasion of $OTHER_TITLE$;;;;;;;;;;;;;beastman_county_conquest_desc;Beastmen need no excuse to invade new lands. §Y$CLAIMANT$§! can attack any bordering province and occupy any land around it, as far as the herds can manage.;;;;;;;;;;;;;
beastmancounty_cleanse_desc;Beastmen are vile beasts lurking beneath the cover of caves and forests and will need extra care to get rid off. §Y$CLAIMANT$§! can attack any bordering province and occupy it.;;;;;;;;;;;;;
CB_NAME_BEASTCOUNTY_CLEANSE;Cleanse [Title.GetBaseName];;;;;;;;;;;;;
WAR_NAME_BEASTCOUNTY_CLEANSE;$ORDER$$FIRST_ADJ$ Expedition of $OTHER_TITLE$;;;;;;;;;;;;;
#
# BEASTMAN DECISIONS
#
duel_beastman_decision;Challenge Liege;;;;;;;;;;;;;
duel_beastman_decision_desc;Challenge your liege for supremacy over the Herds.;;;;;;;;;;;;;
beastman_slaver;Handle Slaves;;;;;;;;;;;;;
beastman_slaver_desc;The prisoners from the last raid will be disposed of in the manner you prefer.;;;;;;;;;;;;;
join_morghur;Join Morghur;;;;;;;;;;;;;;
join_morghur_desc;The call of the Corrupter is strong. You can join Morghur in his quest to destroy the pitiful Elves of Athel Loren.;;;;;;;;;;;;;;
beastman_eat_prisoner;Eat [Root.GetFirstName];;;;;;;;;;;;;
beastman_eat_prisoner_desc;[Root.GetFirstName] is your prisoner. Eating [Root.GetHerHim] could be a good way to set an example for the herd.;;;;;;;;;;;;;
beastman_herdstone_offering;Prepare Offering;;;;;;;;;;;;;
beastman_herdstone_offering_desc;Issue a great offering to the gods beneath the herdstone, increasing your renown and draw more warriors under your banner.;;;;;;;;;;;;;
beastman_herdstone_offering;Prepare Offering;;;;;;;;;;;;;
beastman_herdstone_offering_desc;Issue a great offering to the gods beneath the herdstone, increasing your renown and draw more warriors under your banner.;;;;;;;;;;;;;
beastman_stop_being_vassal;Stop being vassal;;;;;;;;;;;;;
beastman_stop_being_vassal_desc;Become free of your liege.;;;;;;;;;;;;;
#
# BEASTMAN EVENTS
#
EVTDESCbeastmen1;A dangerous horde of Beastmen has been flocking in [From.GetName]. The twisted Chaos creatures are being driven into a frenzy by their flea-ridden leaders and have taken arms to overcome the province.;;;;;;;;;;;;;;
EVTOPTAbeastmen1;They won't!;;;;;;;;;;;;;;
EVTDESCbeastmen3;Once again the Corrupter has come back to life, once again hordes of Beastmen flock to his tattered banner, marching to destroy anything they find on their path.;;;;;;;;;;;;;;
EVTOPTAbeastmen3;They won't!;;;;;;;;;;;;;;
EVTDESCbeastmen4;A rabid horde of Beastmen has emerged from the wilderness threatening to spoil and destroy anything they find on their path.;;;;;;;;;;;;;;
EVTOPTAbeastmen4;They won't!;;;;;;;;;;;;;;
EVTDESCbeastmen5;The corrupting claw of the Shadowgave has touched this province, despoiling it of all that is orderly and natural.;;;;;;;;;;;;;;
EVTOPTAbeastmen5;Forrrwaarrrgdh!;;;;;;;;;;;;;;
EVTDESCbeastmen7;The corrupting claw of the Shadowgave has touched [FromFrom.GetName], despoiling it of all that is orderly and natural.;;;;;;;;;;;;;;
EVTOPTAbeastmen7;Monsters!;;;;;;;;;;;;;;
EVTDESCbeastmen8;The corrupting claw of the Shadowgave has touched [FromFrom.GetName], despoiling it of all that is orderly and natural.;;;;;;;;;;;;;;
EVTOPTAbeastmen8;Monsters!;;;;;;;;;;;;;;
EVTDESCbeastmen13;[FromFrom.GetFirstName] has left these lands, migrating with [FromFrom.GetHerHis] warherd elsewhere.;;;;;;;;;;;;;;
EVTOPTAbeastmen13;Free!!;;;;;;;;;;;;;;
EVTNAMEbeastmen14;Warherd Rallied ( Beastmen );;;;;;;;;;;;;;
EVTDESCbeastmen14;Scourging and spoiling the land of [Root.Location.GetName] you've extended the fame of your Lord. More Beastmen gather around the ruins of the civilizations that once occupied this land, breeding and cursing the gods of Men and Elves.;;;;;;;;;;;;;;
EVTOPTAbeastmen14;Grrlooodhhh...;;;;;;;;;;;;;;
EVTDESCbeastmen15;Scourging and spoiling the land of [From.Location.GetName] you've extended your fame as a Hordemaster. More Beastmen gather around the ruins of the civilizations that once occupied this land, breeding and cursing the gods of Men and Elves.;;;;;;;;;;;;;;
EVTOPTAbeastmen15;Grrlooodhhh...;;;;;;;;;;;;;;
EVTNAMEbeastmen16;Marshal Depletes Resources ( Beastmen );;;;;;;;;;;;;;
EVTDESCbeastmen16;The land of [Root.Location.GetName] is barren wasteland where nothing grows and no semblance of order remains and the herd is growing restless for new places to plunder and scourge.;;;;;;;;;;;;;;
EVTOPTAbeastmen16;Grmmpfh...;;;;;;;;;;;;;;
EVTDESCbeastmen17;The land of [From.Location.GetName] is barren wasteland where nothing grows and no semblance of order remains and the herd is growing restless for new places to plunder and scourge.;;;;;;;;;;;;;;
EVTOPTAbeastmen17;Mroove the Hrrrdh!...;;;;;;;;;;;;;;
EVTOPTBbeastmen17;Krrpp heerre...;;;;;;;;;;;;;;
EVTDESCbeastmen19;To the victor the spoils. The Beastmen follow the strongest and, by killing the previous leader, some herds are rallying under your banner.;;;;;;;;;;;;;;
EVTOPTAbeastmen19;...;;;;;;;;;;;;;;
EVTDESCbeastmen20;[From.GetFirstName] has killed [FromFrom.GetTitledFirstName], one of your servants, and taken [From.GetHerHis] place as leader of the Warherd.;;;;;;;;;;;;;;
EVTOPTAbeastmen20;Hmpf.;;;;;;;;;;;;;;
EVTDESCbeastmen22;With the death of [From.GetFirstName], you [From.GetHerHis] great horde is dividing, the various herds roaming on their own ways, seeking new places to pillage and spoil.;;;;;;;;;;;;;;
EVTOPTAbeastmen22;Overrrhh...;;;;;;;;;;;;;;
EVTDESCbeastmen23;[From.GetFirstName] has challenged you in front of all your followers. You must defend your right to rule the Warherd.;;;;;;;;;;;;;;
EVTOPTbeastmen23;Come heerrre!;;;;;;;;;;;;;;
EVTNAMEbeastmen24;Marshal Plunders and Increases Fame( Beastmen );;;;;;;;;;;;;;
EVTDESCbeastmen24;Scourging and spoiling the land of [Root.Location.GetName] you've extended the fame of your Lord. Civilization crumbles under the hooved steps of the blessed children of Chaos.;;;;;;;;;;;;;;
EVTDESCbeastmen25;Scourging and spoiling the land of [From.Location.GetName] you've extended your fame as a Hordemaster. Civilization crumbles under the hooved steps of the blessed children of Chaos.;;;;;;;;;;;;;;
EVTOPTAbeastmen25;Grooodhh!...;;;;;;;;;;;;;;
EVTDESCbeastmen28;Your Hordemaster stands before you, ready to defend [From.GetHerHis] right to rule.;;;;;;;;;;;;;;
EVTOPTbeastmen28;Breaaahh!!;;;;;;;;;;;;;;
EVTDESCbeastmen29;The Gods favour you! Their touch has given you clarity to see the Winds of magic.;;;;;;;;;;;;;;
EVTOPTAbeastmen29;Raaaahhh!!;;;;;;;;;;;;;;
EVTDESCbeastmen31;The Gods have blessed your spawn. It shall grow to become a powerful shaman.;;;;;;;;;;;;;;
EVTOPTAbeastmen31;Grrlooodhhh...;;;;;;;;;;;;;;
EVTDESCbeastmen37;This province is scourged by a massive Beastmen population. It is only right that your liege fund an expedition to cleanse it from these blasphemous monsters.;;;;;;;;;;;;;;
EVTOPTAbeastmen37;I will plead for it at once.;;;;;;;;;;;;;;
EVTDESCbeastmen38;The land of [From.Location.GetName] is scourged by a massive Beastmen infestation. Your subjects have pleaded many times for you to fund an expedition to cleanse them.;;;;;;;;;;;;;;
EVTOPTAbeastmen38;Sounds reasonable.;;;;;;;;;;;;;;
EVTOPTBbeastmen38;We cannot spare anything for this.;;;;;;;;;;;;;;
EVTDESCbeastmen39;Your soldiers did their job and exterminated every last one of the Beastmen still scourging your land.;;;;;;;;;;;;;;
EVTOPTAbeastmen39;Good.;;;;;;;;;;;;;;
EVTDESCbeastmen40;The expedition had catastrophic results: not only the Beastmen repelled your forces, the battle has sent them into a frenzy, if they gain further momentum, they might turn into a full horde.;;;;;;;;;;;;;;
EVTOPTAbeastmen40;We must prepare ourselves!;;;;;;;;;;;;;;
EVTDESCBbeastmen42;The Ruinous Powers have touched you holding and their presence has been made apparent on your newborn [GetFromRelation]. The infant has come to life deformed, screeching from a beast's mouth. Many in your court demand for the creature to be burned immediately.;;;;;;;;;;;;;;
EVTDESCAbeastmen42;The gods have blessed your household, your newborn [GetFromRelation] shows their favour in [From.GetHerHis] proud animalistic features. Yet there are some in the court claiming the child's place is not in this world.;;;;;;;;;;;;;;
EVTOPTAbeastmen42;The child stays.;;;;;;;;;;;;;;
EVTOPTBbeastmen42;We'll leave it in the forest.;;;;;;;;;;;;;;
EVTOPTCbeastmen42;This thing will burn.;;;;;;;;;;;;;;
EVTDESCbeastmen43;What shall be done with these prisoners?;;;;;;;;;;;;;
EVTOPTAbeastmen43;The Hrrrd'stone! Brnng them to th'GODS!;;;;;;;;;;;;;
EVTOPTBbeastmen43;Food fr hrrd.;;;;;;;;;;;;;
EVTOPTCbeastmen43;Blah! Nothng.;;;;;;;;;;;;;
EVTDESCbeastme48;You drag the tied up prisoner screaming in the middle of the herd, surrounded by the screaming jaws of your subjects. With a rough snap, you dig a bit in [From.GetHerHis] stomach. Feeling the metallic taste of blood sends you as well as the others into a frenzy and the whole pack leaps forward to devour [From.GetFirstName].;;;;;;;;;;;;;;
EVTOPTBbeastmen48;Braaarrkhh!;;;;;;;;;;;;;;
EVTDESCbeastmen49;Your offering has pleased the gods. A small host of Beastmen, lured in by the lure of trophies and blood, has decided to join your herd.;;;;;;;;;;;;;;
EVTOPTAbeastmen49;Grood choisseh.;;;;;;;;;;;;;;
EVTDESCbeastmen50;Your offering has pleased the gods. A large host of Beastmen, lured in by the promise of war and slaughter, has decided to join your herd.;;;;;;;;;;;;;;
EVTOPTAbeastmen50;Grood choisseh.;;;;;;;;;;;;;;
EVTDESCbeastmen51;Your offering has pleased the gods. A band of trolls and giants have wandered into your domain and have found a temporary home around your herdstone, joining your herd.;;;;;;;;;;;;;;
EVTOPTAbeastmen51;The Godss arrre with uss!;;;;;;;;;;;;;;
EVTDESCbeastmen52;The Gods did not favour you today. The stench of your offering has lured in a foreign herd, eager to claim your lands by force.;;;;;;;;;;;;;;
EVTOPTAbeastmen52;W'll frst upon thm!;;;;;;;;;;;;;;
EVTDESCbeastmen53;You try to fall back and the enemy's blade strikes true. When you come to your senses again, you realize only a couple of stumps remain where your horns used to be.;;;;;;;;;;;;;;
EVTOPTAbeastmen53;Rrrgllhhh!;;;;;;;;;;;;;;
EVTDESCbeastmen57;The weak inhabitants have risen up in [Root.GetName], led by a determined leader wanting to reclaim this land for their pitiable kind.;;;;;;;;;;;;;;
EVTOPTAbeastmen57;Nev'rrr!;;;;;;;;;;;;;;
EVTDESCbeastmen58;The weak inhabitants have risen up in [From.GetName], led by a determined leader wanting to reclaim this land for their pitiable kind.;;;;;;;;;;;;;;
EVTOPTAbeastmen58;Nev'rrr!;;;;;;;;;;;;;;
EVTDESCbeastmen60;The mere smell of blood can send you into a frenzy. You can hardly keep calm for an hour before your thoughts turn to violence and carnage.;;;;;;;;;;;;;;
EVTOPTAbeastmen60;Grrrrhh!;;;;;;;;;;;;;;
EVTDESCbeastmen60005;The little beast in your care grows angrier each day, [From.GetSheHe] is developing a true bloodlust.;;;;;;;;;;;;;;
EVTOPTAbeastmen60005;Hmpf.;;;;;;;;;;;;;;
EVTDESCbeastmen61;Almost everyone is stronger than you now, you've only found joy in tormenting and killing smaller animals. But one day...;;;;;;;;;;;;;;
EVTOPTAbeastmen61;Grrrrhh!;;;;;;;;;;;;;;
EVTDESCbeastmen61005;The little beast in your care is developing a petty and twisted mind, taking pleasure in everyone else's suffering.;;;;;;;;;;;;;;
EVTOPTAbeastmen61005;Hmpf.;;;;;;;;;;;;;;
EVTDESCbeastmen62;You despise being so weak and small, with no horns nor strength. You crave for the day you will be able to carve your place as rightful leader of a great herd.;;;;;;;;;;;;;;
EVTOPTAbeastmen62;Grrrrhh!;;;;;;;;;;;;;;
EVTDESCbeastmen62005;The little beast in your care is restless, violently trying to carve its place amongst the other children of [From.GetHerHis] age.;;;;;;;;;;;;;;
EVTOPTAbeastmen62005;Hmpf.;;;;;;;;;;;;;;
EVTDESCbeastmen63;Your natural inclination for violence has lately assumed a new flavour when you find yourself close to young people of the opposite gender, especially if they're beastmen like you.;;;;;;;;;;;;;;
EVTOPTAbeastmen63;Grrrrhh!;;;;;;;;;;;;;;
EVTDESCbeastmen63005;The little beast in your care has developed an insatiable lust, abusing other children whenever [From.GetSheHe] manages to subdue them or, if nothing else is available, spending hours humping trees and rocks.;;;;;;;;;;;;;;
EVTOPTAbeastmen63005;Hmpf.;;;;;;;;;;;;;;
#
# BEASTMAN GOVERNMENTS
#
beastman_government;Warherd;;;;;;;;;;;;;
beastman_government_desc;The Beastmen are anarchic and warmongering. Their herds never settle down in one place and as they migrate they destroy everything on their path. Each warherd is led by the strongest bull, who is often challenged for dominance by its subjects.;;;;;;;;;;;;;
