EVTOPT_DARKGODSNO;My oaths to my kin and my gods are too important to betray!;;;;;;;;;x
EVTOPT_DARKGODSYES;For the Ruinous Powers!;;;;;;;;;x
EVTDESCCCGS_2;You have decided to abandon the traditional gods of the Norscan faith, as they have done little for you, in favour of the Chaos Gods, which shall you follow?;;;;;;;;;x
EVTDESCCCGSB_2;You have decided to choose to dedicate yourself to one of the main chaos gods, as general worship seems to have done little for you, in favour of the Chaos Gods, which shall you follow?;;;;;;;;;x
EVTOPTCCGS.2.a;All of them, for the Dark Gods! For Chaos!;;;;;;;;;x
EVTOPTCCGS.2.b;I feel a rage unequalled in the mortal realm... Blood for the Blood God!;;;;;;;;;x
EVTOPTCCGS.2.c;Slaanesh will grant me my desires.;;;;;;;;;x
EVTOPTCCGS.2.d;There are others...;;;;;;;;;x
EVTDESCCCGS.3;Here are the others;;;;;;;;;x
EVTOPTCCGS.3.a;This world reeks of death, Nurgle will see me safe.;;;;;;;;;x
EVTOPTCCGS.3.b;Everyone is out to get me, but Tzeentch shall show me the way.;;;;;;;;;x
EVTOPTCCGS.3.c;Nevermind.;;;;;;;;;x
convertchaosmenu;Convert to Chaos;;;;;;;;;x
convertchaosmenu_desc;Embrace the Dark gods;;;;;;;;;x
ConvertToChaosHorde;Become Chaos Horde;;;;;;;;;;;;;;
ConvertToChaosHordeDesc;adopt the ways of the Kurgan and Hung.;;;;;;;;;;;;;
CONVERSION;Conversion;;;;;;;;;x
convert_to_warherd;All holdings will be destroyed, providing gold and population to your horde, a Herdstone will be added to your new Nomadic capital.;;;;;;;;;;;;;;
convert_to_chaos_nomad;All holdings will be destroyed, providing gold and population to your horde, some tribal buildings we be repurposed and added to your new Nomadic capital.;;;;;;;;;;;;;;
patron_dark_god;Choose a patron god;;;;;;;;;x
patron_dark_god_desc;We pay homage to many gods... I would surely benefit by choosing one as my patron.;;;;;;;;;x
EVTDESC_CCGS.4;We Norscans worship many gods, perhaps we should adopt a single one as our patron and enjoy benefits?;;;;;;;;;x
EVTOPTACCGS.4.a;Promote Tchar;;;;;;;;;x
EVTOPTBCCGS.4.b;Promote Kjörn;;;;;;;;;x
EVTOPTCCCGS.4.c;Promote Nierg;;;;;;;;;x
EVTOPTDCCGS.4.d;There are others...;;;;;;;;;x
EVTDESC_CCGS.5;Here are the others.;;;;;;;;;x
EVTOPTACCGS.5.a;Promote Loesh;;;;;;;;;x
EVTOPTBCCGS.5.b;Promote Olric;;;;;;;;;x
EVTOPTCCCGS.5.c;Promote Órsen;;;;;;;;;x
EVTOPTDCCGS.5.d;On second thought...;;;;;;;;;x
patron_tchar;Patron of Tchar;;;;;;;;;x
patron_kharneth;Patron of Kjörn;;;;;;;;;x
patron_nurgleth;Patron of Nierg;;;;;;;;;x
patron_shornaal;Patron of Loesh;;;;;;;;;x
patron_ulric;Patron of Olric;;;;;;;;;x
patron_ursun;Patron of Órsen;;;;;;;;;x
