#########
# MAGIC #
#########
#
# ITEM CRAFTING
#
ENCHANTING_AMULETS;Enchanting - Amulets;;;;;;;;;;;;x
EVTDESCCRAFTING.0;Depending on your magic power and amount of gold in your treasury, these are the amulets you can enchant at the moment.;;;;;;;;;;;;x
crafting.0.a;Amulet of Protection +1 / Takes 1 years.;;;;;;;;;;;;x
crafting.0.b;Amulet of Protection +3 / Takes 3 years.;;;;;;;;;;;;x
crafting.0.c;Amulet of Protection +5 / Takes 5 years.;;;;;;;;;;;;x
ENCHANTING_RINGS;Enchanting - Rings;;;;;;;;;;;;x
EVTDESCCRAFTING.2;Depending on your magic power and amount of gold in your treasury, these are the rings you can enchant at the moment.;;;;;;;;;;;;x
crafting.2.a;Ring of Persuasion / Takes 1 year.;;;;;;;;;;;;x
crafting.2.b;Ring of Invisibility / Takes 1 year.;;;;;;;;;;;;x
crafting.2.c;Ring of Speed / Takes 3 years.;;;;;;;;;;;;x
crafting.2.d;Ring of Command / Takes 5 years.;;;;;;;;;;;;x
ENCHANTING_WEAPONS;Enchanting - Weapons;;;;;;;;;;;;x
EVTDESCCRAFTING.4;Depending on your magic power and amount of gold in your treasury, these are the weapons you can enchant at the moment.;;;;;;;;;;;;x
crafting.4.a;A Sword of Ice / Takes 2 years.;;;;;;;;;;;;x
crafting.4.b;A Sword of Fire / Takes 3 years.;;;;;;;;;;;;x
crafting.4.c;A Sword of Lightning / Takes 4 years.;;;;;;;;;;;;x
crafting.4.d;A Sword of Destruction / Takes 5 years.;;;;;;;;;;;;x
ALCHEMY_POTIONS;Alchemy - Potions;;;;;;;;;;;;x
EVTDESCCRAFTING.6;A potion can be brewed which will last you throughout your lifetime, but not be passed on to your successors. These are the potions you can craft with your level and gold.;;;;;;;;;;;;x
crafting.6.a;Potion of Healing / Takes 1 year.;;;;;;;;;;;;x
crafting.6.b;Potion of Beauty / Takes 2 years.;;;;;;;;;;;;x
crafting.6.c;Potion of Strength / Takes 1 years.;;;;;;;;;;;;x
crafting.6.d;Potion of Speed / Takes 1 years.;;;;;;;;;;;;x
ALCHEMY_ELIXIRS;Alchemy - Elixir;;;;;;;;;;;;x
EVTDESCCRAFTING.8;An Elixir can be brewed which will boost your stats permanently, but they are only affective up to a certain threshhold. These are the elixirs you can craft with your level and gold.;;;;;;;;;;;;x
magic_potential_3_desc;This character has been gifted with great magical potential, possessing an instinctive ability for grasping the Winds of Magic and bending reality to their will.\n§GIncreases Battle Magic Pool§!\n§GHigher Magic Potential Increases XP Gain For Magic Power Levels§!;;;;;;;;;;;;;
magic_potential_4;Legendary Magic Potential;;;;;;;;;;;;;
magic_potential_4_desc;This character has been gifted with the greatest magical potential, possessing an instinctive ability for grasping the Winds of Magic and bending reality to their will.\n§GIncreases Battle Magic Pool§!\n§GHigher Magic Potential Increases XP Gain For Magic Power Levels§!;;;;;;;;;;;;;
lore_ursun;Lore of Ursun - §GBattle Magic Pool([This.MagicPool.GetValue]/[This.MagicPoolMax.GetValue])§!;;;;;;;;;;;;;x
lore_ulric;Lore of Ulric - §GBattle Magic Pool([This.MagicPool.GetValue]/[This.MagicPoolMax.GetValue])§!;;;;;;;;;;;;;x
lore_taalite;Lore of Taal and Rhya - §GBattle Magic Pool([This.MagicPool.GetValue]/[This.MagicPoolMax.GetValue])§!;;;;;;;;;;;;;x
lore_sigmar;Lore of Sigmar - §GBattle Magic Pool([This.MagicPool.GetValue]/[This.MagicPoolMax.GetValue])§!;;;;;;;;;;;;;x
lore_morr;Lore of  Morr - §GBattle Magic Pool([This.MagicPool.GetValue]/[This.MagicPoolMax.GetValue])§!;;;;;;;;;;;;;x
lore_myrmidia;Lore of Myrmidia - §GBattle Magic Pool([This.MagicPool.GetValue]/[This.MagicPoolMax.GetValue])§!;;;;;;;;;;;;;x
lore_manann;Lore of Manann - §GBattle Magic Pool([This.MagicPool.GetValue]/[This.MagicPoolMax.GetValue])§!;;;;;;;;;;;;;x
lore_shallya;Lore of Shallya - §GBattle Magic Pool([This.MagicPool.GetValue]/[This.MagicPoolMax.GetValue])§!;;;;;;;;;;;;;x
lore_verena;Lore of Verena - §GBattle Magic Pool([This.MagicPool.GetValue]/[This.MagicPoolMax.GetValue])§!;;;;;;;;;;;;;x
lore_ursun_desc;This character is capable of calling upon the divine magic of Ursun.;;;;;;;;;;;;;x
lore_ulric_desc;This character is capable of calling upon the divine magic of Ulric.;;;;;;;;;;;;;x
lore_taalite_desc;This character is capable of calling upon the divine magic of Taal and Rhya.;;;;;;;;;;;;;x
lore_sigmar_desc;This character is capable of calling upon the divine magic of Sigmar.;;;;;;;;;;;;;x
lore_morr_desc;This character is capable of calling upon the divine magic of Morr.;;;;;;;;;;;;;x
lore_myrmidia_desc;This character is capable of calling upon the divine magic of Myrmidia.;;;;;;;;;;;;;x
lore_manann_desc;This character is capable of calling upon the divine magic of Manann.;;;;;;;;;;;;;x
lore_shallya_desc;This character is capable of calling upon the divine magic of Shallya.;;;;;;;;;;;;;x
lore_verena_desc;This character is capable of calling upon the divine magic of Verena.;;;;;;;;;;;;;x
lore_fire;Lore of Fire - §GBattle Magic Pool([This.MagicPool.GetValue]/[This.MagicPoolMax.GetValue])§!;;;;;;;;;;;;;x
lore_beasts;Lore of Beasts - §GBattle Magic Pool([This.MagicPool.GetValue]/[This.MagicPoolMax.GetValue])§!;;;;;;;;;;;;;x
lore_metal;Lore of Metal - §GBattle Magic Pool([This.MagicPool.GetValue]/[This.MagicPoolMax.GetValue])§!;;;;;;;;;;;;;x
lore_light;Lore of Light - §GBattle Magic Pool([This.MagicPool.GetValue]/[This.MagicPoolMax.GetValue])§!;;;;;;;;;;;;;x
lore_life;Lore of Life - §GBattle Magic Pool([This.MagicPool.GetValue]/[This.MagicPoolMax.GetValue])§!;;;;;;;;;;;;;x
lore_heavens;Lore of Heavens - §GBattle Magic Pool([This.MagicPool.GetValue]/[This.MagicPoolMax.GetValue])§!;;;;;;;;;;;;;x
lore_death;Lore of Death - §GBattle Magic Pool([This.MagicPool.GetValue]/[This.MagicPoolMax.GetValue])§!;;;;;;;;;;;;;x
lore_deep;Lore of Deep - §GBattle Magic Pool([This.MagicPool.GetValue]/[This.MagicPoolMax.GetValue])§!;;;;;;;;;;;;;x
lore_shadows;Lore of Shadows - §GBattle Magic Pool([This.MagicPool.GetValue]/[This.MagicPoolMax.GetValue])§!;;;;;;;;;;;;;x
lore_high_magic;High Magic - §GBattle Magic Pool([This.MagicPool.GetValue]/[This.MagicPoolMax.GetValue])§!;;;;;;;;;;;;;x
lore_dark_magic;Dark Magic - §GBattle Magic Pool([This.MagicPool.GetValue]/[This.MagicPoolMax.GetValue])§!;;;;;;;;;;;;;x
lore_chaos;Dark Lore of Chaos - §GBattle Magic Pool([This.MagicPool.GetValue]/[This.MagicPoolMax.GetValue])§!;;;;;;;;;;;;;x
lore_nurgle;Dark Lore of Nurgle - §GBattle Magic Pool([This.MagicPool.GetValue]/[This.MagicPoolMax.GetValue])§!;;;;;;;;;;;;;x
lore_slaanesh;Dark Lore of Slaanesh - §GBattle Magic Pool([This.MagicPool.GetValue]/[This.MagicPoolMax.GetValue])§!;;;;;;;;;;;;;x
lore_tzeentch;Dark Lore of Tzeentch - §GBattle Magic Pool([This.MagicPool.GetValue]/[This.MagicPoolMax.GetValue])§!;;;;;;;;;;;;;x
lore_ice;Lore of Ice - §GBattle Magic Pool([This.MagicPool.GetValue]/[This.MagicPoolMax.GetValue])§!;;;;;;;;;;;;;x
lore_necromancy;Lore of Necromancy - §GBattle Magic Pool([This.MagicPool.GetValue]/[This.MagicPoolMax.GetValue])§!;;;;;;;;;;;;;x
lore_fire_desc;This character can manipulate Aqshy, the Red Wind of Magic.\n§GSummons Spell Units during battles\nWill cause damage to fortifications during sieges§!;;;;;;;;;;;;;x
lore_beasts_desc;This character can manipulate Ghur, the Brown Wind of Magic.\n§GSummons Spell Units during battles\nWill cause damage to fortifications during sieges§!;;;;;;;;;;;;;x
lore_metal_desc;This character can manipulate Chamon, the Yellow Wind of Magic.\n§GSummons Spell Units during battles\nWill cause damage to fortifications during sieges§!;;;;;;;;;;;;;x
lore_light_desc;This character can manipulate Hysh, the White Wind of Magic.\n§GSummons Spell Units during battles\nWill cause damage to fortifications during sieges§!;;;;;;;;;;;;;x
lore_life_desc;This character can manipulate Ghyran, the Green Wind of Magic.\n§GSummons Spell Units during battles\nWill cause damage to fortifications during sieges§!;;;;;;;;;;;;;x
lore_heavens_desc;This character can manipulate Azyr, the Blue Wind of Magic.\n§GSummons Spell Units during battles\nWill cause damage to fortifications during sieges§!;;;;;;;;;;;;;x
lore_death_desc;This character can manipulate Shyish, the Purple Wind of Magic.\n§GSummons Spell Units during battles\nWill cause damage to fortifications during sieges§!;;;;;;;;;;;;;x
lore_shadows_desc;This character can manipulate Ulgu, the Grey Wind of Magic.\n§GSummons Spell Units during battles\nWill cause damage to fortifications during sieges§!;;;;;;;;;;;;;x
lore_high_magic_desc;This character can use Qhaysh and manipulate the entire spectrum of magic at once.\n§GSummons Spell Units during battles\nWill cause damage to fortifications during sieges§!;;;;;;;;;;;;;x
lore_dark_magic_desc;This character can use True Dhar and uses all Winds in their most raw form. Dark Elves are masters of this Lore.\n§GSummons Spell Units during battles\nWill cause damage to fortifications during sieges§!;;;;;;;;;;;;;x
lore_chaos_desc;This character knows wide array of spells that uses chaotic mixture of magic winds yet, it is not tied to any particular Dark God.\n§GSummons Spell Units and Daemons during battles\nWill cause damage to fortifications during sieges§!;;;;;;;;;;;;;x
lore_nurgle_desc;Father of Plagues granted this character selection of spells to spread illness and despair.\n§GSummons Spell Units and Daemons during battles\nWill cause damage to fortifications during sieges§!;;;;;;;;;;;;;x
lore_slaanesh_desc;This character can use spells specially crafted by Slaanesh to prey upon mind and passions of [GetHerHis] enemies.\n§GSummons Spell Units and Daemons during battles\nWill cause damage to fortifications during sieges§!;;;;;;;;;;;;;x
lore_tzeentch_desc;Tzeentch, lord of magic blessed this character with knowledge of spells of incredible destructive power.\n§GSummons Spell Units and Daemons during battles\nWill cause damage to fortifications during sieges§!;;;;;;;;;;;;;x
lore_ice_desc;This character can use magic of Ice practised by Ice Witches of Kislev.\n§BBattle Magic Pool changes depending on climate of battlefield§!\n§GSummons Spell Units during battles\nWill cause damage to fortifications during sieges§!;;;;;;;;;;;;;x
lore_necromancy_desc;This character can use spells from dark art of necromancy orignaly created by Nagash.\n§GSummons Spell Units during battles\nWill cause damage to fortifications during sieges§!;;;;;;;;;;;;;x
beast_transformation;Beast Transformation;;;;;;;;;;;;;x
beast_transformation_desc;Using the powers of Magic, this character has transformed into a Beast.;;;;;;;;;;;;;x
studying_magic;Studying Magic;;;;;;;;;;;;;x
studying_magic_desc;This character has gone into seclusion, focusing on improving his understanding of magic by digging through ancient tomes and running experiments.;;;;;;;;;;;;;x
crafting_magic_item;Crafting a magical item;;;;;;;;;;;;;x
crafting_magic_item_desc;This character is currently crafting a magical item.;;;;;;;;;;;;;x
WarlockWitch;Warlock/Witch;;;;;;;;;;;;;x
WarlockWitch_desc;This character is a Warlock/Witch.;;;;;;;;;;;;;x
hedge_wizard;Hedge Wizard;;;;;;;;;;;;;
hedge_wizard_desc;A hedge wizard is someone who is trying his hand at magic without any master or tutor. They tend to live apart from society at large, as they have a sometimes-deserved reputation for causing disasters and misfortune.;;;;;;;;;;;;;
witch;Witch;;;;;;;;;;;;;
witch_desc;Witches are Hedge Wizards who survived practicing their fumbling arts without going completely insane or dying. They have a broader repertoire of homegrown spells to work with and many dabble in areas best left alone.;;;;;;;;;;;;;
warlock;Warlock;;;;;;;;;;;;;
warlock_desc;This character is aware of the dangers of using Dark Magic but does not care, in fact [GetSheHe] relies upon it. Warlocks actively seek to study the ways of Dhar to enhance their power and be proficient in cruel and destructive spells.;;;;;;;;;;;;;
#
# MAGIC CHARACTER MODIFIERS
#
magic_power_1;Magic Power 1 - §GMagic XP([This.magicxp.GetValue])§!;;;;;;;;;;x
magic_power_1_desc;Magic XP is gained during battles and passively via random events and will increase your Magic Power Level. \nHigher Magic Power will increase your §GBattle Magic Pool§! and increase the amount of §GSpell Units§! you can summon in each combat round.;;;;;;;;;;x
magic_power_2;Magic Power 2 - §GMagic XP([This.magicxp.GetValue])§!;;;;;;;;;;x
magic_power_2_desc;Magic XP is gained during battles and passively via random events and will increase your Magic Power Level. \nHigher Magic Power will increase your §GBattle Magic Pool§! and increase the amount of §GSpell Units§! you can summon in each combat round.;;;;;;;;;;x
magic_power_3;Magic Power 3 - §GMagic XP([This.magicxp.GetValue])§!;;;;;;;;;;x
magic_power_3_desc;Magic XP is gained during battles and passively via random events and will increase your Magic Power Level. \nHigher Magic Power will increase your §GBattle Magic Pool§! and increase the amount of §GSpell Units§! you can summon in each combat round.;;;;;;;;;;x
magic_power_4;Magic Power 4 - §GMagic XP([This.magicxp.GetValue])§!;;;;;;;;;;x
magic_power_4_desc;Magic XP is gained during battles and passively via random events and will increase your Magic Power Level. \nHigher Magic Power will increase your §GBattle Magic Pool§! and increase the amount of §GSpell Units§! you can summon in each combat round.;;;;;;;;;;x
#
# MAGIC BLOODLINE MODIFIERS
#
bloodline_effect_magic_legacy;Characters are inclined to be tolerant of magic.;;;;;;;;;;;;;x
bloodline_effect_magic_bloodline_male;Men are more likely to be born with magic.;;;;;;;;;;;;;x
bloodline_effect_magic_bloodline_female;Women are more likely to be born with magic.;;;;;;;;;;;;;x
bloodline_effect_magic_bloodline;All memebers are more likely to be born with magic.;;;;;;;;;;;;;x
#
# MAGIC PROVINCE MODIFIERS
#
magic_siege1;Magical Devastation;;;;;;;;;;;;;x
magic_siege1_desc;This province was attacked by a weak mage, dealing minor damage to defenses and defenders alike. It will take a bit of time to repair, rebuild and consolidate the defenses.;;;;;;;;;;;;;x
magic_siege2;Magical Devastation;;;;;;;;;;;;;x
magic_siege2_desc;This province was attacked by a mage, dealing medium damage to defenses and defenders alike. It will take some time to repair, rebuild and consolidate the defenses.;;;;;;;;;;;;;x
magic_siege3;Magical Devastation;;;;;;;;;;;;;x
magic_siege3_desc;This province was attacked by a powerful mage, dealing large damage to defenses and defenders alike. It will take time to repair, rebuild and consolidate the defenses.;;;;;;;;;;;;;x
magic_siege4;Magical Devastation;;;;;;;;;;;;;x
magic_siege4_desc;This province was attacked by a very powerful mage, dealing heavy damage to defenses and defenders alike. It will take a long time to repair, rebuild and consolidate the defenses.;;;;;;;;;;;;;x
magic_siege5;Magical Devastation 5;;;;;;;;;;;;;x
magic_siege5_desc;This province was attacked by a mage, dealing medium damage to defenses and defenders alike. It will take some time to repair, rebuild and consolidate the defenses.;;;;;;;;;;;;;x
magic_siege6;Magical Devastation 6;;;;;;;;;;;;;x
magic_siege6_desc;This province was attacked by a mage, dealing medium damage to defenses and defenders alike. It will take some time to repair, rebuild and consolidate the defenses.;;;;;;;;;;;;;x
magic_siege7;Magical Devastation 7;;;;;;;;;;;;;x
magic_siege7_desc;This province was attacked by a mage, dealing large damage to defenses and defenders alike. It will take time to repair, rebuild and consolidate the defenses.;;;;;;;;;;;;;x
magic_siege8;Magical Devastation 8;;;;;;;;;;;;;x
magic_siege8_desc;This province was attacked by a mage, dealing large damage to defenses and defenders alike. It will take time to repair, rebuild and consolidate the defenses.;;;;;;;;;;;;;x
magic_siege9;Magical Devastation 9;;;;;;;;;;;;;x
magic_siege9_desc;This province was attacked by a mage, dealing large damage to defenses and defenders alike. It will take time to repair, rebuild and consolidate the defenses.;;;;;;;;;;;;;x
magic_siege10;Magical Devastation 10;;;;;;;;;;;;;x
magic_siege10_desc;This province was attacked by a mage, dealing heavy damage to defenses and defenders alike. It will take a long time to repair, rebuild and consolidate the defenses.;;;;;;;;;;;;;x
magic_siege11;Magical Devastation 11;;;;;;;;;;;;;x
magic_siege11_desc;This province was attacked by a mage, dealing heavy damage to defenses and defenders alike. It will take a long time to repair, rebuild and consolidate the defenses.;;;;;;;;;;;;;x
magic_siege12;Magical Devastation 12;;;;;;;;;;;;;x
magic_siege12_desc;This province was attacked by a mage, dealing heavy damage to defenses and defenders alike. It will take a long time to repair, rebuild and consolidate the defenses.;;;;;;;;;;;;;x
#
# MAGIC TITLES
#
title_teacher_mage;Court Mage;;;;;;;;;;;;;x
title_teacher_mage_desc;The Court Mage will attempt to teach magic to all children at court.;;;;;;;;;;;;;x
#
# MAGIC TOOLTIPS
#
is_trained_mage_tt;Is a Trained Mage;;;;;;;;x
has_magic_potential_tt;Has Magic Potential;;;;;;;;x
using_illegal_magic_tt;Using Illegal Magic;;;;;;;;x
gain_magic_xp_tt;You gain §GMagic XP§!;;;;;;;;x
gain_magic_xp_major_tt;You gain a large amount of §GMagic XP§!;;;;;;;;x
gain_magic_xp_massive_tt;You gain a massive amount of §GMagic XP§!;;;;;;;;x
magic_is_allowed_in_realm_tt;Magic is allowed in the realm;;;;;;;;x
gender_allowed_magic_tt;Gender is allowed magic;;;;;;;;x
#
# MAGIC OPINION MODIFIERS
#
magic_potential_1_opinion;Magic Potential Opinion;;;;;;;;;;;;;x
opinion_of_magic_potential_1;Opinion of Magic Potential;;;;;;;;;;;;;x
magic_potential_2_opinion;Good Magic Potential Opinion;;;;;;;;;;;;;x
opinion_of_magic_potential_2;Opinion of Good Magic Potential;;;;;;;;;;;;;x
magic_potential_3_opinion;Great Magic Potential Opinion;;;;;;;;;;;;;x
opinion_of_magic_potential_3;Opinion of Great Magic Potential;;;;;;;;;;;;;x
magic_potential_4_opinion;Legendary Magic Potential Opinion;;;;;;;;;;;;;x
opinion_of_magic_potential_4;Opinion of Legendary Magic Potential;;;;;;;;;;;;;x
#
# MAGIC EVENTS
#
EVTDESCmagicengine4A;I have begun casting in a battle!;;;;;;;;x
EVTDESCmagicengine4B;I have begun casting and Daemon summoning in a battle!;;;;;;;;x
EVTDESCmagicengine4C;I have begun Daemon summoning in a battle!;;;;;;;;x
EVTTITLEmagicengine5;Battle Magic;;;;;;;;x
EVTDESCmagicengine5;This is the first battle where either your or the enemy sides commanders includes Mages or Daemon Summoners.\nMagic casting as part of a battle is now completely automated, all Mage commanders in a battle will summon special spell units every 5 days of combat, these units disappear after the battle ends. Mages only have a limited amount of times they can summon these units depending primarily on their magic potential tier and to a lesser extent magic power skill level and martial.\n\nChaos Mages can also Summon Daemons. Certain followers of Khorne may be able to summon Daemons.;;;;;;;;x
EVTDESCmagicengine21;I have begun casting Siege Magic!;;;;;;;;x
EVTTITLEmagicengine22;Siege Magic;;;;;;;;x
EVTDESCmagicengine22;This is the first siege where your commanders includes Mages or Daemon Summoners.\nSieges with Mages or Daemon Summoners will check the Magic Power Level (1 to 4) of the mages present and damage the province defences depending on power level of each individual mage present, this damage become more severe every month the siege lasts, however this will reduce your battle magic pool for the duration. Khorne Daemon Summoners are equivalent to Magic Power 2.;;;;;;;;x
mageproc.0;A Dream of Daggers in the Night;;;;;;;;;;;;x
mageproc_0_desc;Through the dreams of the weaves of destiny yet to be, you see what moves where men can't see. Revealed to your sight, from darkest night, those who would do harm to yours and thee, are stripped of their anonymity.;;;;;;;;;;;;x
mageproc.0a;I see you!;;;;;;;;;;;;;x
mageproc.1;Your Plots and Schemes Revealed!;;;;;;;;;;;;x
mageproc_1_Desc;Your hidden plots and daggers in the shadows are no match for your targets sorcerous gaze.;;;;;;;;;;;;x
mageproc.1a;Cofound his psykery!;;;;;;;;;;;;x
EVTDESC_mageproc_3;Warpstone has also been noted to having no characteristic odour and is slightly warm to the touch. The more unrefined Warpstone is naturally very dangerous for all creatures; prolonged exposure to the substance will lead to madness, mutation and eventual death. Prolonged consumption produces an addiction much greater than any other natural drug, an addiction that never ceases and will always plague those users for all eternity.;;;;;;;;;;;;;;
EVTOPTA_mageproc_3;*Consume Warpstone Dust*;;;;;;;;;;;;;;
EVTOPTB_mageproc_3;*Consume Warpstone Shard*;;;;;;;;;;;;;;
EVTOPTC_mageproc_3;*Consume Warpstone Cluster*;;;;;;;;;;;;;;
craft_amulet;Enchant Amulet;;;;;;;;;;;;x
craft_amulet_desc;Depending on your magic power and amount of gold in your treasury.;;;;;;;;;;;;x
craft_ring;Enchant Ring;;;;;;;;;;;;x
craft_ring_desc;Depending on your magic power and amount of gold in your treasury.;;;;;;;;;;;;x
craft_weapon;Enchant Weapon;;;;;;;;;;;;x
craft_weapon_desc;Depending on your magic power and amount of gold in your treasury.;;;;;;;;;;;;x
craft_potion;Brew Potion;;;;;;;;;;;;x
craft_potion_desc;Depending on your magic power and amount of gold in your treasury.;;;;;;;;;;;;x
craft_elixir;Brew Elixir;;;;;;;;;;;;x
craft_elixir_desc;Depending on your magic power and amount of gold in your treasury.;;;;;;;;;;;;x
#
# DRINK ELIXIR OF ETERNAL YOUTH
#
drink_elixir_of_eternal_youth;Drink Elixir of eternal youth!;;;;;;;;;;;;;x
drink_elixir_of_eternal_youth_desc;You will drink Elixir of eternal youth and become immune to the wheel of time.;;;;;;;;;;;;;x
#
# DRINK POTION
#
