# LAST EDIT: 22/08/2020 - MITSU
#######################
# PLEASURE/HAREM/RAPE #
#######################
###ÄNSI
#
# PLEASURE
#
hide_deformity_spells;Dissimulate Deformity;;;;;;;;;;;;;;
EVTDESCAspleasure99003;Your delicately hinted ideas seems to have picked your [GetFromRelation]'s interest. Maybe now [From.GetFirstName] will like to know more. And try more.;;;;;;;;;;;;;;
EVTDESCBspleasure99003;You tried as you could to inspire your [GetFromRelation], but [From.GetSheHe] seems still impervious to your delicious suggestions. For the moment.;;;;;;;;;;;;;;
EVTOPTAspleasure99003;You're too much of a prude.;;;;;;;;;;;;;;
EVTOPTBspleasure99003;You're too modest.;;;;;;;;;;;;;;
EVTOPTCspleasure99003;You're too serious.;;;;;;;;;;;;;;
EVTDESCAspleasure99004;Your intricate lies and manipulations caught [From.GetFirstName]'s attentions, [From.GetSheHe] appears eager to learn more of what is to be experienced in life.;;;;;;;;;;;;;;
EVTDESCBspleasure99004;[From.GetFirstName] was deaf to your subtle attempts to inflame [From.GetHerHis] imagination, [From.GetSheHe] doesn't really seem to care at the moment.;;;;;;;;;;;;;;
EVTOPTAspleasure99004;You're too much of a prude.;;;;;;;;;;;;;;
EVTOPTBspleasure99004;You're too modest.;;;;;;;;;;;;;;
EVTOPTCspleasure99004;You're too serious.;;;;;;;;;;;;;;
EVTDESCAspleasure99005;The direct approach is always the more effective. A little visit in your [GetFromRelation]'s chambers was enough to get [From.GetHerHis] full attention.;;;;;;;;;;;;;;
EVTDESCBspleasure99005;Strangely enough, [From.GetFirstName] did not answer well to you hiding inside [From.GetHerHis] chambers to give [From.GetHerHim] a taste of what [From.GetSheHe]'s missing. Yet, you're still determined to show [From.GetHerHim] the light.;;;;;;;;;;;;;;
EVTOPTAspleasure99005;You're too much of a prude.;;;;;;;;;;;;;;
EVTOPTBspleasure99005;You're too modest.;;;;;;;;;;;;;;
EVTOPTCspleasure99005;You're too serious.;;;;;;;;;;;;;;
EVTDESCAspleasure100;Your [GetFromRelation]'s concerns seems to be really with your looks. You cannot fail to deny [From.GetHerHis] objections and suggestions to improve your features. You had thought you had already reached perfection by this point, but there really is always more...;;;;;;;;;;;;;;
EVTDESCBspleasure100;Your [GetFromRelation]'s concerns seems to be really with your looks. Indeed, [From.GetSheHe] does make a compelling case over the imperfection of some of your features, maybe [From.GetSheHe] should be listened...;;;;;;;;;;;;;;
EVTDESCCspleasure100;Your [GetFromRelation]'s concerns seems to be really with your looks. Indeed, [From.GetSheHe] does make a compelling case over the imperfection of some of your features, although you feel like some of the changes [From.GetSheHe] hinted at might be a little... extreme...;;;;;;;;;;;;;;
EVTDESCDspleasure100;Your [GetFromRelation]'s concerns seems to be really with your looks. For days now [From.GetSheHe] has pestered you on about how important is your appearance and how you should groom it.;;;;;;;;;;;;;;
EVTDESCEspleasure100;Your [GetFromRelation]'s concerns seems to be really with your looks. For days now [From.GetSheHe] has pestered you on about how important is your appearance and how you should groom it, ignoring all your requests to leave you alone.;;;;;;;;;;;;;;
EVTDESCFspleasure100;Your [GetFromRelation]'s concerns seems to be really with your looks. For days now [From.GetSheHe] has pestered you on about how important is your appearance and how you should groom it, ignoring every time you explained [From.GetHerHim] how little you care about this topic.;;;;;;;;;;;;;;
EVTDESCGspleasure100;Your [GetFromRelation]'s concerns seems to be really with your looks. For days now [From.GetSheHe] has pestered you on about how important is your appearance and how you should groom it, despite the fact you made crystal clear you consider appearances meaningless compared to character.;;;;;;;;;;;;;;
EVTDESCHspleasure100;Your [GetFromRelation]'s concerns seems to be really with your looks. For days now [From.GetSheHe] has bragged on some nonsense regarding the importance of one's appearance. You can barely even understand why [From.GetSheHe] gives so much thought to something so meaningless.;;;;;;;;;;;;;;
EVTOPTAspleasure100;There might be truth in what you say...;;;;;;;;;;;;;;
EVTOPTBspleasure100;No, this is nonsense.;;;;;;;;;;;;;;
EVTDESCAspleasure101;[From.GetFirstName] has finally come to accept the research for beauty as the healthy obsession a proper person should groom. Your [GetFromRelation] can spend days locked inside [From.GetHerHis] rooms, looking at [From.GetHerHis] reflection, trying to spot any imperfections, trimming and combing hair, changing clothes, asking for advice.;;;;;;;;;;;;;;
EVTDESCBspleasure101;[From.GetFirstName] has finally started to act properly, surrounding [From.GetHerHim]self with servants and maids to advise [From.GetHerHis] looks, constantly wondering what could improve [From.GetHerHis] features. Indeed, [From.GetSheHe]'s become so cute and insecure around you, always asking about [From.GetHerHis] hair and [From.GetHerHis] weight and giggling politely at every compliment you make to [From.GetHerHim].;;;;;;;;;;;;;;
EVTDESCCspleasure101;You are seeing some results for your troublesome [GetFromRelation]. [From.GetFirstName] spends some healthy amount of time at the mirror each morning, making sure to look at [From.GetHerHis] best, investing time and money on the betterment of [From.GetHerHis] appearance.;;;;;;;;;;;;;;
EVTDESCDspleasure101;[From.GetFirstName] has started spending some more time checking [From.GetHerHis] hair, choosing some new fabulous clothes under your benevolent guidance, but [From.GetSheHe] shows still too little interest in the process, as if it wasn't the most important thing to worry about during [From.GetHerHis] whole day...;;;;;;;;;;;;;;
EVTDESCEspleasure101;As little as it is, [From.GetFirstName] seems to be giving some attention on how to dress and act, but that's no more than the bare minimum one would expect from everyone. There's no passion, no imagination, [From.GetSheHe] doesn't understand the art behind it.;;;;;;;;;;;;;;
EVTDESCFspleasure101;You thought you almost saw [From.GetFirstName] staring at a mirror today, but no such luck, sadly. How can your [GetFromRelation] be still so uncaring about [From.GetHerHis] looks?;;;;;;;;;;;;;;
EVTDESCGspleasure101;Somewhere, hidden under layers of indifference, there might be a sense of aesthetic inside [From.GetFirstName]'s soul. There's still a long way to find it, though. You cannot believe how someone like [From.GetHerHim] could care so little on how others see [From.GetHerHim].;;;;;;;;;;;;;;
EVTDESCHspleasure101;How frustrating, your [GetFromRelation] seems to care as little about you as [From.GetSheHe] cares about [From.GetHerHis] looks. There seems to be no way to dissuade the [From.GetFirstName] to even look at [From.GetHerHis] reflection from time to time.;;;;;;;;;;;;;;
EVTOPTAspleasure101;*Flatter [From.GetHerHim]*;;;;;;;;;;;;;;
EVTOPTBspleasure101;*Shame [From.GetHerHim]*;;;;;;;;;;;;;;
EVTOPTCspleasure101;*Bash [From.GetHerHim]*;;;;;;;;;;;;;;
EVTDESCAspleasure102;How can you possibly reach perfection with the limitations imposed to you by your own body? There must be another way, no clothes, no hairstyle, no demeanor can ultimately hide the small imperfections plaguing your face. They must be carved out.;;;;;;;;;;;;;;
EVTDESCBspleasure102;There must be some other way, you already spend so much time to look at your best, but, for all [From.GetHerHis] praise, [From.GetFirstName] still thinks there might be room for improvement. Indeed, it would be shameful to stop now, when you already have such an advantageous starting point.;;;;;;;;;;;;;;
EVTDESCCspleasure102;At first it was just to experiment some new stuff, but now it has become more of an habit. You've a newfound interest in yourself, how to better look, how to better act around other people, how to sit, how to stand, how to dress. It's all so deliciously complicate and you cannot wait to learn more.;;;;;;;;;;;;;;
EVTDESCDspleasure102;Getting powders and perfumes the likes [From.GetFirstName] cannot stop from suggesting might be too much, but you've found a strange comfort in spending some time at the mirror in the morning, making sure look at your best before meeting your courtiers and friends. It gives some unexpected confidence.;;;;;;;;;;;;;;
EVTDESCEspleasure102;You barely noticed yourself combing your hair today. All this expectation from [From.GetFirstName] and other courtiers must have sneaked inside your head. Still, there should not be anything wrong with a few adjustments from time to time?;;;;;;;;;;;;;;
EVTDESCFspleasure102;[From.GetFirstName] sent you some extremely flamboyant clothes as a gift, hoping they would help you understand the need to take care of your looks. Why does [From.GetSheHe] even care what you look like?;;;;;;;;;;;;;;
EVTDESCGspleasure102;[From.GetFirstName] would just not stop praising your looks, swearing a little care is all you need to reach true perfection. It is such a strange attitude, to think wasting so much time and wealth on mere appearances could be worth anything.;;;;;;;;;;;;;;
EVTDESCHspleasure102;[From.GetFirstName] has kept on bothering you with [From.GetHerHis] empty flattering, still hoping you could pick some interest in the empty praises to beauty and fashion. Sometimes you almost wish you understood what this obsession really meant.;;;;;;;;;;;;;;
EVTOPTZZspleasure102;I will change the flesh and reach perfection!;;;;;;;;;;;;;;
EVTOPTAspleasure102;I could... spend some more time on this...;;;;;;;;;;;;;;
EVTOPTBspleasure102;I still find all this uncomfortable.;;;;;;;;;;;;;;
EVTOPTCspleasure102;Enough of this!;;;;;;;;;;;;;;
EVTDESCAspleasure103;It's no use changing details, you need to sculpt a better face for yourself. Only then, you will reach true beauty, only then people will stop snickering at your back.;;;;;;;;;;;;;;
EVTDESCBspleasure103;Every time you feel closer to perfection, [From.GetFirstName] is there, ready to prove you wrong, to point out all the things that you missed, all that still needs to be worked on. How could have you been so blind? The change must be radical.;;;;;;;;;;;;;;
EVTDESCCspleasure103;Why is it so hard? You can see [From.GetFirstName]'s harsh words were not uncalled for now, you've started looking for new ways to nurture your look, but for any spot you cover, one more springs out of nowhere, one more thing to trim, adjust, replace.;;;;;;;;;;;;;;
EVTDESCDspleasure103;You've started giving greater attention to how you look and act around others, but it's still not enough, you can still hear them snickering behind your back, pointing at all the imperfections and questionable choices in attire you've picked.;;;;;;;;;;;;;;
EVTDESCEspleasure103;All this sharp comments, even from other courtiers, are really starting to become unbearable. Do you really look so terrible? Maybe you could spend some time improving your image...;;;;;;;;;;;;;;
EVTDESCFspleasure103;You don't really understand [From.GetFirstName]'s attitude. First [From.GetSheHe] spends hours spitting shrouded insults at you, then [From.GetSheHe] starts spewing advices on how to improve your image. Why can't [From.GetSheHe] just think for [From.GetHerHim]self?;;;;;;;;;;;;;;
EVTDESCGspleasure103;[From.GetFirstName] is back again with [From.GetHerHis] cheap shots against you, how out of style are your clothes, how dreadful does your hair look, how much would you benefit from powdering your face. It's such a meaningless concern for you...;;;;;;;;;;;;;;
EVTDESCHspleasure103;It's almost laughable how [From.GetFirstName] still is trying to make you feel some sort of shame for your looks and demeanour, as if you would care anything [From.GetSheHe] or any other empty person would think about you.;;;;;;;;;;;;;;
EVTOPTZZspleasure103;I will change the flesh and reach perfection!;;;;;;;;;;;;;;
EVTOPTAspleasure103;I could... spend some more time on this...;;;;;;;;;;;;;;
EVTOPTBspleasure103;I still find all this uncomfortable.;;;;;;;;;;;;;;
EVTOPTCspleasure103;Enough of this!;;;;;;;;;;;;;;
EVTDESCAspleasure104;You cannot bear to be yelled at any longer by [From.GetFirstName], spewing how ugly you are yet. You must take drastic measures now. You must change what nature got wrong and move towards beauty.;;;;;;;;;;;;;;
EVTDESCBspleasure104;There was no misunderstanding in [From.GetFirstName]'s yelling this time. Your appearance cannot be improved by things as limited as powders and lotions, it's your very flesh that needs to be treated. Only then you shall be able to reach perfection.;;;;;;;;;;;;;;
EVTDESCCspleasure104;As you leave [From.GetFirstName] chambers after yet another scolding over your sloven looks, you start to understand what you have might be a real problem. You thought you could manage, spend more time, hire some servants to counsel you on the best way to present yourself, but it's clearly not enough. You must be a desperate case.;;;;;;;;;;;;;;
EVTDESCDspleasure104;The constant threats of [From.GetFirstName] have been a huge incentive, now you have to spend at least an hour each day on the morning to make sure to look at your best. Even so, that's not even the bare minimum for your [GetFromRelation], [From.GetSheHe]'s insatiable for constant improvement.;;;;;;;;;;;;;;
EVTDESCEspleasure104;You really tried to to be careful, brush your hair and all such frivolous things, but it's still not enough. You were berated once more by your [GetFromRelation] [From.GetFirstName]. What are you supposed to do? Waste days acting like some spoiled princess?;;;;;;;;;;;;;;
EVTDESCFspleasure104;Why is [From.GetFirstName] so upset? It seems like everyday now [From.GetSheHe] has to yell at you for some wrong mannerism or supposedly dreadful hairstyle or any other entirely frivolous matter [From.GetSheHe] may think of. By this point, you wonder if it wouldn't be easier to just entertain [From.GetHerHis] ideas for a while.;;;;;;;;;;;;;;
EVTDESCGspleasure104;[From.GetFirstName] has called you one more time for another harsh scolding over your allegedly absolute lack of fashion, making empty threats against you if you persist to keep such an uncaring behaviour.;;;;;;;;;;;;;;
EVTDESCHspleasure104;How dares [From.GetFirstName] treat you like this! Summoning you, reprimanding you for slovenliness and ordering you to do something about it, as if it was any of [From.GetHerHis] business how you look.;;;;;;;;;;;;;;
EVTOPTZZspleasure104;I will change the flesh and reach perfection!;;;;;;;;;;;;;;
EVTOPTAspleasure104;I could... spend some more time on this...;;;;;;;;;;;;;;
EVTOPTBspleasure104;I still find all this uncomfortable.;;;;;;;;;;;;;;
EVTOPTCspleasure104;Enough of this!;;;;;;;;;;;;;;
EVTDESCAspleasure105;[From.GetFirstName] spent quite some time explaining you how [From.GetSheHe]'s not so insecure to be swayed by mere talk about [From.GetHerHis] appearance. There are better things for a man of [From.GetHerHis] stature to do than look frivolous and effeminate, if not outright perverted. It doesn't seem like you'll get anything more from this one.;;;;;;;;;;;;;;
EVTDESCBspleasure105;[From.GetFirstName] spent quite some time explaining you how [From.GetSheHe]'s not so insecure to be swayed by mere talk about [From.GetHerHis] appearance. For a woman of [From.GetHerHis] calibre it would be damning to lose your reason for a self-absorbed life of frivolous nonsense. It doesn't seem like you'll get anything more from this one.You're not so insecure to be swayed by mere talk about your appearance.;;;;;;;;;;;;;;
EVTOPTAspleasure105;I'm fine as I am.;;;;;;;;;;;;;;
EVTDESCAspleasure107;You let the blade run through your skin, as softly and firmly as possible, looking at the red line in the reflection of your mirror. Just the retouching that you needed, a more virile look, the battle-hardened warrior, the scar going just right to emphasize your good features.;;;;;;;;;;;;;;
EVTDESCBspleasure107;You let the blade run through your skin, as softly and firmly as possible, looking at the red line in the reflection of your mirror. Just the retouching that you needed, a mysterious cut, running just along the right places to emphasize your good features, making you so much more interesting.;;;;;;;;;;;;;;
EVTOPTAspleasure107;Yes, this will do.;;;;;;;;;;;;;;
EVTDESCAspleasure10705;It is time to see the results of your gracious and just meddling: [From.GetFirstName] is sporting some nice new interesting looks. How much did he scream to gain his new scar, you wonder? Such a great prize, although coming from a complete different sort of battle, of which you are certainly the winner.;;;;;;;;;;;;;;
EVTDESCBspleasure10705;It is time to see the results of your gracious and just meddling: [From.GetFirstName] is sporting some nice new interesting looks. Normally one would consider such a cut an imperfection, but in the middle of her otherwise plain appearance, it gains such a special quality... In fact you think it might be even giving some value to her other boring features.;;;;;;;;;;;;;;
EVTOPTAspleasure10705;A good work, but perfection has yet to be reached...;;;;;;;;;;;;;;
EVTDESCAspleasure108;You let the blade run through your skin, as softly and firmly as possible, looking at the red line in the reflection of your mirror. Proceeding further, adding another line, you start seeing your design taking form. You're like a painter, you finally realize. And your face is still such a blank slate...;;;;;;;;;;;;;;
EVTDESCBspleasure108;You let the blade run through your skin, as softly and firmly as possible, looking at the red line in the reflection of your mirror. Proceeding further, adding another line, you start seeing your design taking form. You're like a painter, you finally realize. And your face is still such a blank slate...;;;;;;;;;;;;;;
EVTOPTAspleasure108;More red!;;;;;;;;;;;;;;
EVTDESCAspleasure10805;What a surprise [From.GetFirstName] revealed himself to be. Here he is, completely transfigured. His face is terrible and in this terror there is something beautiful. Some in the court might think him a madman to do this, but the fact that you alone can truly understand the greatness of his work, makes it even more sublime.;;;;;;;;;;;;;;
EVTDESCBspleasure10805;What a surprise [From.GetFirstName] revealed herself to be. Few men would look at her without turning pale. But for you, she's become a forbidden beauty. The mere thought makes your skin crawl with pleasure, to dare looking at the magnificent fruits of your labour...;;;;;;;;;;;;;;
EVTOPTAspleasure10805;Perfect!;;;;;;;;;;;;;;
EVTDESCAspleasure109;The long days of studying in your laboratory, mixing potions and weaving spells have finally come to their fruition. With some last arcane words you drink the philtre and quickly turn to the mirror to watch your skin writhe and change. Now you truly have the perfect form, the kind whose charms few have resisted.;;;;;;;;;;;;;;
EVTDESCBspleasure109;The long days of studying in your laboratory, mixing potions and weaving spells have finally come to their fruition. With some last arcane words you drink the philtre and quickly turn to the mirror to watch your skin warp and change. Now you truly have the perfect form, the kind whose beauty the bards sing about.;;;;;;;;;;;;;;
EVTOPTAspleasure109;Magic solves every problem.;;;;;;;;;;;;;;
EVTDESCAspleasure10905;[From.GetFirstName] has outdone himself. With his arts, he found a way to use the Winds of Magic as the tools to sculpt his face. Only you can see all which has changed, every little detail. So delicate, yet, on the whole, so radical a change. He'll soon be the envy of many young fops in the court.;;;;;;;;;;;;;;
EVTDESCBspleasure10905;[From.GetFirstName] has outdone herself. With her arts, she found a way to use the Winds of Magic as the tools to sculpt her face. Only you can see all which has changed, every little detail. So delicate, yet, on the whole, so radical a change. She'll soon be the envy of many young ladies in the court.;;;;;;;;;;;;;;
EVTOPTAspleasure10905;No need to thank me. It's a gift.;;;;;;;;;;;;;;
EVTDESCAspleasure110;Your [GetFromRelation]'s concerns seems to be really with your health. Somehow [From.GetSheHe] came up with the conclusion that you might be too harsh on yourself with your eating habits and that a more solid diet could be beneficial for both your body and your mind.;;;;;;;;;;;;;;
EVTDESCBspleasure110;Your [GetFromRelation]'s concerns seems to be really with your health. Somehow [From.GetSheHe] came up with the conclusion that you might be too harsh on yourself with your eating habits and that a more solid diet could be beneficial for both your body and your mind.;;;;;;;;;;;;;;
EVTDESCCspleasure110;Your [GetFromRelation]'s concerns seems to be really with your health. Somehow [From.GetSheHe] came up with the conclusion that you might be too harsh on yourself with your eating habits and that a more solid diet could be beneficial for both your body and your mind.;;;;;;;;;;;;;;
EVTDESCDspleasure110;Your [GetFromRelation]'s concerns seems to be really with your health. For some strange reason [From.GetSheHe] believes you might be too harsh for what concerns eating habits with a strict diet. You cannot deny you've already had similar thoughts in the past...;;;;;;;;;;;;;;
EVTDESCEspleasure110;Your [GetFromRelation]'s concerns seems to be really with your health. For some strange reason [From.GetSheHe] believes you might be too harsh for what concerns eating habits with a supposedly strict diet.;;;;;;;;;;;;;;
EVTDESCFspleasure110;Your [GetFromRelation]'s concerns seems to be really with your health. For some strange reason [From.GetSheHe] believes you might be too harsh for what concerns eating habits with a supposedly strict diet.;;;;;;;;;;;;;;
EVTDESCGspleasure110;Your [GetFromRelation]'s concerns seems to be really with your health. For some absurd reason [From.GetSheHe] believes you might be depriving yourself too much and [From.GetSheHe]'s afraid for your constitution failing critically if you keep on like this.;;;;;;;;;;;;;;
EVTDESCHspleasure110;Your [GetFromRelation]'s concerns seems to be really with your health. For some absurd reason [From.GetSheHe] believes you might be depriving yourself too much and [From.GetSheHe]'s afraid for your constitution failing critically if you keep on like this.;;;;;;;;;;;;;;
EVTOPTAspleasure110;Doesn't seem so unreasonable...;;;;;;;;;;;;;;
EVTOPTBspleasure110;I'll take care of my own body, thanks.;;;;;;;;;;;;;;
EVTDESCAspleasure111;[From.GetFirstName] has become a real glutton, hardly remaining one day without stuffing [From.GetHerHis] face from morning to evening. At the end of the day [From.GetSheHe] needs servants to carry [From.GetHerHim] to bed.;;;;;;;;;;;;;;
