deploy_war_machines_desc;Every good engineer has a few contraptions to unleash in times of crisis. You're a great engineer.;;;;;;;;;x
deploy_war_machines_tt;These war machines won't be good for more than one war, but they'll get the job done!;;;;;;;;;x
deploy_war_machines_power_desc;Allows master engineers to create short-lived war machines to destroy their enemies!;;;;;;;;;x
economic_engineering;Engineering improvements;;;;;;;;;;;;x
economic_engineering_desc;Use your engineering expertise to decrease local construction costs.;;;;;;;;;;;;x
economic_engineering_power_desc;Enables an option to right-click on your county titles and spend society currency on a short-term reduction on building costs.;;;;;;;;;;;;x
engineering_improvements;Engineering improvements;;;;;;;;;;;;x
engineering_improvements_desc;This province is benefiting from the work of an engineer.;;;;;;;;;;;;x
engineer_experiment;Experiment!;;;;;;;;;;;;x
engineer_experiment_power_desc;Allows engineers to take a few risks to further their knowledge.;;;;;;;;;;;;x
engineer_experiment_desc;Enough reading and replicating well-tested devices. The time has come to try something bold, something new, something potentially suicidal!;;;;;;;;;;;;x
engineer_experiment_tt;What could go wrong?;;;;;;;;;;;;x
impractical_innovation;Impractical Innovation;;;;;;;;;;;;x
impractical_innovation_desc;This engineer's latest invention doesn't have a lot of practical use - for now!;;;;;;;;;;;;x
practical_innovation;Practical Innovation;;;;;;;;;;;;x
practical_innovation_desc;This engineer's latest invention is useful in the near future. Maybe they will set sights higher next time?;;;;;;;;;;;;x
busy_engineer;Busy Engineer;;;;;;;;;;;;x
busy_engineer_desc;This engineer is busy with a major project and has no time for any other technical work.;;;;;;;;;;;;x
EVTDESC_dK_engineers_10;You've had ideas for something special for a while now, so it doesn't take long to draw up a blueprint and assemble the materials for a prototype.;;;;;;;;;;;;x
EVTOPTA_dK_engineers_10;Next step: field testing!;;;;;;;;;;;;x
EVTOPTA_dK_engineers_10_TT;You have a good feeling about this one.;;;;;;;;;;;;x
EVTDESC_dK_engineers_11;There's no reward without risk. That's why your latest experiment is incredibly, insanely risky. The reward? If you survive, you should learn something.;;;;;;;;;;;;x
EVTOPTA_dK_engineers_11;That's a big "if";;;;;;;;;;;;x
EVTDESC_dK_engineers_12;Sometimes a concept just doesn't work. You've tried and tried, but you can't get this device to work with the materials available to you.;;;;;;;;;;;;x
EVTOPTA_dK_engineers_12;Back to the drawing board.;;;;;;;;;;;;x
EVTDESC_dK_engineers_13;You know, this is something people could use today. Regular people, not just engineers and desperate men. It might not be the kind of thing you can brag about during guild meetings, but your new device is going to make difficult lives just a little easier.;;;;;;;;;;;;x
EVTOPTA_dK_engineers_13;That's why I got into engineering!;;;;;;;;;;;;x
EVTDESC_dK_engineers_14;Your prototype is a marvel! It's brilliant! It's ahead of its time! In fact, it's so advanced that nobody is going to be using it until well after you're dead.;;;;;;;;;;;;x
EVTOPTA_dK_engineers_14;A true genius is never appreciated in their own lifetime;;;;;;;;;;;;x

### Old World Cults
# Grail
armour_of_brilliance;Armour of Brilliance;;;;;;;;;;;;x
armour_of_brilliance_desc;This dwarf-forged gold and silver plate gleams with an inner light even in the darkest night. It is a source of inspiration to Bretonnia's warriors and an image of dread to her enemies.;;;;;;;;;;;;x
sword_couronne;Sword of Couronne;;;;;;;;;;;;x
sword_couronne_desc;This sacred weapon is the ancestral blade of Bretonnian Kings.;;;;;;;;;;;;x
banner_of_the_lady;Banner of the Lady;;;;;;;;;;;;x
banner_of_the_lady_desc;This is the ancient banner of Giles le Breton, the first King of Bretonnia. It was blessed by the Lady of the Lake and imbued with her power.;;;;;;;;;;;;x
sword_lyonesse;Sword of Lyonesse;;;;;;;;;;;;x
sword_lyonesse_desc;At the command of the Lady of the Lake, the peasant girl Repanse took up this ancient blade and wielded it against the minions of Chaos.;;;;;;;;;;;;x
# Myrmidia
sword_of_lucan;Sword of Lucan;;;;;;;;;;;;x
sword_of_lucan_desc;This razor-sharp blade is thought to be the sword used by Luccini's legendary founder Lucan.;;;;;;;;;;;;x
# Shallya
shallya_hospice;Shallyan Hospice;;;;;;;;;x
shallya_hospice_desc;Healers from the Cult of Shallya have intensified their efforts in this area, alleviating misery and reducing the spread of disease.;;;;;;;;;x
set_up_shallya_hospice;Set up Shallyan Hospice;;;;;;;;;x
set_up_shallya_hospice_desc;Intensify the efforts of the Cult of Shallya in this county, reducing revolt risk and increasing defence against disease.;;;;;;;;;x
set_up_shallya_hospice_power_desc;Enables an option to right-click on your county titles and spend society currency for short-term protection against revolts and spreading disease.;;;;;;;;;x
# Ulric
cult_of_ulric;Children of the Winter Wolf;;;;;;;;;x
cult_of_ulric_desc;The Children of the Winter Wolf worship Ulric, the Wolf God. Strongest in the northern reaches of Sigmar's Empire, the Cult of Ulric are fierce warriors who prize forthrightness and honesty. Although second in power and influence to the Cult of Sigmar, the Ulricans are rightly proud of their valiant defence of mankind.;;;;;;;;x
cult_of_ulric_rank_1_female;Initiate;;;;;;;;x
cult_of_ulric_rank_2_female;Sister;;;;;;;;x
cult_of_ulric_rank_3_female;Grand Mistress;Pr
