# LAST EDIT: 2021/04/11 - SUPERNOVA
##########
# TRAITS #
##########
###ÄNSI
#
# AMAZON OPINION MODIFIERS
#
opinion_served_awful_human_beer;Served awful beer;;;;;;;;;x
opinion_trained_together;Trained together;;;;;;;;;x
opinion_contempt;Contempt;;;;;;;;;x
opinion_dwarf_grudge;Grudge;;;;;;;;;;;;x
#
# FIMIR OPINION MODIFIERS
#
fimir_shearl_opinion;Shearl Opinion;;;;;;;;;;;;x
fimir_fimm_opinion;Fimm Warrior Opinion;;;;;;;;;;;;x
fimir_noble_opinion;Fimm Noble Opinion;;;;;;;;;;;;x
fimir_dirach_opinion;Dirach Opinion;;;;;;;;;;;;x
fimir_maergh_opinion;Maergh Opinion;;;;;;;;;;;;x
#
# GOBLIN/ORC OPINION MODIFIERS
#
preparing_waaagh_invasion_opinion;Attempting to invade;;;;;;;;;;;;x
preparing_waaagh_invasion_opinion_against_me;Attempting to invade me;;;;;;;;;;;;x
#
# LIZARDMAN OPINION MODIFIERS
#
lizardman_opinion;Lizardman Opinion;;;;;;;;;;;;;x
#
# NEHEKHARAN OPINION MODIFIERS
#
opinion_graverobbed_me;Graverobber;;;;;;;;;;;;;
opinion_terrified;Scared;;;;;;;;;;;;;
#
# NORSCAN OPINION MODIFIERS
#
norscan_group_opinion;Norscan Opinion;;;;;;;;;;;;;x
#
# OGRE OPINION MODIFIERS
#
opinion_too_thin;Too Thin;;;;;;;;;;;;;
#
# SARTOSAN/PIRATE OPINION MODIFIERS
#
sartosan_group_opinion;Sartosan Opinion;;;;;;;;;;;;;x
pirate_opinon;Pirate Opinion;;;;;;;;;;;;;x
#
# CREATURE OPINION MODIFIERS
#
creature_human_opinion;Human Opinion;;;;;;;;;;;;x
creature_elf_opinion;Elf Opinion;;;;;;;;;;;;x
creature_nehekharan_opinion;Nehekharan Opinion;;;;;;;;;;;;x
#
# RELIGIOUS OPINION MODIFIERS
#
old_world_group_opinion;Old World Religions Opinion;;;;;;;;;;;;;x
myrmidian_opinion;Myrmidian religious Opinion;;;;;;;;;;;;;x
sigmarite_opinion;Sigmarite religious Opinion;;;;;;;;;;;;;x
ulrican_opinion;Ulrican religious Opinion;;;;;;;;;;;;;x
grail_opinion;Grail religious Opinion;;;;;;;;;;;;;x
false_grail_opinion;True Grail religious Opinion;;;;;;;;;;;;;x
taalite_opinion;Taalite religious Opinion;;;;;;;;;;;;;x
kiselv_gods_opinion;Kislev Pantheon religious Opinion;;;;;;;;;;;;;x
shallyan_opinion;Shallyan religious Opinion;;;;;;;;;;;;;x
old_faith_opinion;Old Faith religious Opinion;;;;;;;;;;;;;x
manannite_opinion;Manannite religious Opinion;;;;;;;;;;;;;x
ormazd_gods_group_opinion;Southern Religions Opinion;;;;;;;;;;;;;x
ormazd_opinion;Ormazdic religious Opinion;;;;;;;;;;;;;x
kitabid_opinion;Kitabid religious Opinion;;;;;;;;;;;;;x
atruhayid_opinion;Atruhayid religious Opinion;;;;;;;;;;;;;x
akghan_opinion;Akghan religious Opinion;;;;;;;;;;;;;x
shadowmen_opinion;Shadowmen religious Opinion;;;;;;;;;;;;;x
chaos_gods_group_opinion;Dark Pantheon Religions Opinion;;;;;;;;;;;;;x
chaos_opinion;Undivided religious Opinion;;;;;;;;;;;;;x
khorne_opinion;Khornate religious Opinion;;;;;;;;;;;;;x
nurgle_opinion;Nurglite religious Opinion;;;;;;;;;;;;;x
tzeentch_opinion;Tzeentchian religious Opinion;;;;;;;;;;;;;x
slaanesh_opinion;Slaaneshi religious Opinion;;;;;;;;;;;;;x
hashut_opinion;Hashut religious Opinion;;;;;;;;;;;;;x
norscan_gods_opinion;Norscan religious Opinion;;;;;;;;;;;;;x
northern_gods_opinion;Northern Gods religious Opinion;;;;;;;;;;;;;x
stromfels_opinion;Stromfels religious Opinion;;;;;;;;;;;;;x
dwarf_gods_group_opinion;Dwarfen Religions Opinion;;;;;;;;;;;;;x
ancestor_gods_opinion;Ancestral religious Opinion;;;;;;;;;;;;;x
norse_ancestor_gods_opinion;Norse Ancestral religious Opinion;;;;;;;;;;;;;x
cadai_group_opinion;Cadai Religions Opinion;;;;;;;;;;;;;x
cadai_opinion;Cadai religious Opinion;;;;;;;;;;;;;x
cult_of_pleasure_opinion;Cult of Pleasure religious Opinion;;;;;;;;;;;;;x
asrai_cadai_opinion;Asrai-Cadai religious Opinion;;;;;;;;;;;;;x
cytharai_group_opinion;Cytharai Religions Opinion;;;;;;;;;;;;;x
cytharai_opinion;Cytharai religious Opinion;;;;;;;;;;;;;x
atharti_opinion;Atharthi religious Opinion;;;;;;;;;;;;;x
anath_raema_opinion;Anath-Raema religious Opinion;;;;;;;;;;;;;x
halfling_gods_group_opinion;Halfling Religions Opinion;;;;;;;;;;;;;x
halfling_gods_opinion;Esmeraldan religious Opinion;;;;;;;;;;;;;x
necromantic_group_opinion;Necromantic Religions Opinion;;;;;;;;;;;;;x
vampiric_opinion;Vampiric religious Opinion;;;;;;;;;;;;;x
nagashi_opinion;Nagashi religious Opinion;;;;;;;;;;;;;x
old_ones_group_opinion;Old Ones Religions Opinion;;;;;;;;;;;;;x
old_ones_opinion;Old Ones religious Opinion;;;;;;;;;;;;;x
amazon_opinion;Amazon religious Opinion;;;;;;;;;;;;;x
kukaili_opinion;Kukaili religious Opinion;;;;;;;;;;;;;x
greenskin_gods_group_opinion;Greenskin Religions Opinion;;;;;;;;;;;;;x
greenskin_gods_opinion;Gork & Mork Religions Opinion;;;;;;;;;;;;;x
spider_god_opinion;Spider God Religions Opinion;;;;;;;;;;;;;x
nehekharan_gods_group_opinion;Nehekharan Religions Opinion;;;;;;;;;;;;;x
nehekharan_gods_opinion;Nehekharan Gods religious opinion;;;;;;;;;;;;;x
horned_rat_god_group_opinion;Skaven Religions Opinion;;;;;;;;;;;;;x
horned_rat_opinion;Horned Rat religious opinion;;;;;;;;;;;;;x
oriental_gods_group_opinion;Oriental Religions Opinion;;;;;;;;;;;;;xx
draconite_opinion;Celestial religious Opinion;;;;;;;;;;;;;x
#
# OPINION MODIFIER DUMP
#
impaler_opinion;Impaler Opinion;;;;;;;;;;;;;x
schemer_opinion;Schemer Opinion;;;;;;;;;;;;;x
seducer_opinion;Seducer Opinion;;;;;;;;;;;;;x
seductress_opinion;Seductress Opinion;;;;;;;;;;;;;x
opinion_asur_tyrant;Oppressive Tyrant;;;;;;;;;;;;;x
opinion_scared_into_submission;Scared into submission;;;;;;;;;;;;;x
opinion_barbaric;Barbaric;;;;;;;;;;;;;x
opinion_nauglir_family;Fed relative to Nauglir;;;;;;;;;;;;;x
opinion_nauglir_family_druchii;Fed relative to Nauglir;;;;;;;;;;;;;x
opinion_dragon_family;Fed relative to Dragon;;;;;;;;;;;;;x
opinion_dragon_family_druchii;Fed relative to Dragon;;;;;;;;;;;;;x
opinion_gryphon_family;Fed relative to Griffon;;;;;;;;;;;;;x
opinion_gryphon_family_druchii;Fed relative to Griffon;;;;;;;;;;;;;x
